L_ID,year,month,Source_main,Source_Sub
ABC0013633,2021,12,NULL,764635.5
ABC0013633,2022,1,553128,580785
ABC0013633,2022,2,583600.5,612780
ABC0013633,2022,3,780000,819000
ABC0013633,2022,4,872835.75,916477.5
ABC0013633,2022,5,825735.75,867022.5
ABC0013633,2022,6,707920.5,707920.5
ABC0013633,2022,7,NULL,361117.5
ABC0013679,2021,1,5047.2,5009.7
ABC0013679,2021,2,18188.25,18731.85
ABC0013679,2021,3,24352.425,25498.35
ABC0013679,2021,4,22288.2,23205.57
ABC0013679,2021,5,20187.27,21457.305
ABC0013679,2021,6,21962.475,23059.77
ABC0013679,2021,7,16036.11,16974
ABC0013679,2021,8,18600.045,19874.55
ABC0013679,2021,9,15859.785,21611.25
ABC0013679,2021,10,24106.815,25341.75
ABC0013679,2021,11,36501.705,22048.35
ABC0013679,2021,12,25451.07,26728.8
ABC0013679,2022,1,21066.345,21999
ABC0013679,2022,2,17290.38,18153.885
ABC0013679,2022,3,NULL,25486.95
ABC0013679,2022,4,NULL,3630
ABC0013679,2022,5,NULL,0
ABC0013679,2022,6,NULL,0
ABC0013679,2022,7,NULL,0
ABC0013704,2021,1,NULL,NULL
ABC0013704,2021,2,NULL,NULL
ABC0013704,2021,3,NULL,NULL
ABC0013704,2021,4,NULL,NULL
ABC0013704,2021,5,NULL,NULL
ABC0013704,2021,6,NULL,NULL
ABC0013704,2021,7,NULL,NULL
ABC0013704,2021,8,NULL,NULL
ABC0013704,2021,9,NULL,NULL
ABC0013704,2021,10,NULL,NULL
ABC0013704,2021,11,NULL,NULL
ABC0013704,2021,12,NULL,NULL
ABC0013704,2022,1,NULL,NULL
ABC0013704,2022,2,NULL,NULL
ABC0013704,2022,3,NULL,NULL
ABC0013704,2022,4,NULL,NULL
ABC0013704,2022,5,NULL,NULL
ABC0013704,2022,6,NULL,NULL
ABC0013704,2022,7,NULL,NULL
ABC0013730,2021,2,14197.2,14803.185
ABC0013730,2021,3,33904.815,35401.65
ABC0013730,2021,4,36410.595,37230
ABC0013730,2021,5,40699.02,38437.5
ABC0013730,2021,6,41984.745,44092.5
ABC0013730,2021,7,46027.5,48330
ABC0013730,2021,8,67006.095,70230
ABC0013730,2021,9,82262.835,86085
ABC0013730,2021,10,92940.69,97590
ABC0013730,2021,11,99555.06,104535
ABC0013730,2021,12,117621.795,131464.5
ABC0013730,2022,1,112253.76,117871.5
ABC0013730,2022,2,80490.015,91539
ABC0013730,2022,3,82747.29,93285
ABC0013730,2022,4,92503.89,105225
ABC0013730,2022,5,84061.485,95459.79
ABC0013730,2022,6,83182.665,93769.5
ABC0013730,2022,7,NULL,46728
ABC0013774,2021,4,468178.215,646053.75
ABC0013774,2021,5,1552880.82,1950268.95
ABC0013774,2021,6,1707621.795,2160100.725
ABC0013774,2021,7,1434695.37,1877762.175
ABC0013774,2021,8,1488125.82,1869053.55
ABC0013774,2021,9,1521204.105,1910271.33
ABC0013774,2021,10,1796439.975,2241420.75
ABC0013774,2021,11,1938273.885,2423271.75
ABC0013774,2021,12,1970171.955,2507605.65
ABC0013774,2022,1,1802269.47,2244636.645
ABC0013774,2022,2,1993263.645,2472436.8
ABC0013774,2022,3,2258836.935,2811784.905
ABC0013774,2022,4,1403980.83,1734188.52
ABC0013774,2022,5,1629046.695,2062083.645
ABC0013774,2022,6,1464247.5,1759057.08
ABC0013774,2022,7,NULL,893559.585
ABC0013776,2021,1,NULL,NULL
ABC0013776,2021,2,NULL,NULL
ABC0013776,2021,3,NULL,NULL
ABC0013776,2021,4,NULL,NULL
ABC0013776,2021,5,NULL,NULL
ABC0013776,2021,6,NULL,NULL
ABC0013776,2021,7,NULL,NULL
ABC0013776,2021,8,NULL,NULL
ABC0013776,2021,9,NULL,NULL
ABC0013776,2021,10,NULL,NULL
ABC0013776,2021,11,NULL,NULL
ABC0013776,2021,12,NULL,NULL
ABC0013776,2022,1,NULL,NULL
ABC0013776,2022,2,NULL,NULL
ABC0013776,2022,3,NULL,NULL
ABC0013776,2022,4,NULL,NULL
ABC0013776,2022,5,NULL,NULL
ABC0013776,2022,6,NULL,NULL
ABC0013776,2022,7,NULL,NULL
ABC0013778,2021,5,259982.175,272981.25
ABC0013778,2021,6,293593.2,308384.625
ABC0013778,2021,7,324515.205,340740.75
ABC0013778,2021,8,247679.19,260063.25
ABC0013778,2021,9,187755.345,197143.125
ABC0013778,2021,10,286609.845,300940.875
ABC0013778,2021,11,289182.27,303631.875
ABC0013778,2021,12,330549.285,346846.875
ABC0013778,2022,1,325218.93,341554.5
ABC0013778,2022,2,246715.71,259051.38
